frn_adminid,Travel,Exercise,Beilber,Confidence,Spiritual,Extroverted,DogPerson,Drinker,Sleeper,SamHater,tshirt,tenure,average_bustle,Gender,Team
329,No,No,No,Yes,No,Neither,Yes,No,Yes,Neither,Medium,<3,<75,Female,Accounts
333,Yes,Yes,No,Yes,No,Yes,Yes,Neither,No,No,Xsmall,<3,<75,Female,Marketing
341,No,Yes,No,Yes,Neither,Yes,Yes,Neither,No,Neither,Small,<3,<75,Female,Accounts
256,Yes,Neither,No,Yes,No,Yes,No,Neither,No,Yes,Small,3-6,75 - 150,Female,Accounts
251,Yes,No,Neither,Yes,Yes,Yes,Yes,No,Yes,Yes,Large,3-6,150 - 300,Female,Accounts
231,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Neither,Large,6-12,75 - 150,Female,Accounts
76,Yes,No,No,Yes,Yes,Neither,Yes,Yes,No,No,Medium,24-48,150 - 300,Female,Accounts
277,No,No,Yes,Yes,Yes,Yes,Yes,No,Neither,Neither,Medium,3-6,75 - 150,Male,Accounts
273,Yes,Neither,No,Yes,Yes,No,Yes,No,No,No,Xsmall,3-6,75 - 150,Female,Operations
259,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Neither,Small,3-6,<75,Female,Accounts
39,Yes,Yes,No,Neither,Yes,Yes,Yes,Yes,No,Yes,Medium,24-48,450 - 600,Female,Biz Dev
31,Yes,Yes,Neither,Yes,Neither,No,Yes,No,Yes,No,Large,48+,300 - 450,Female,Engineering
325,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Neither,XLarge,<3,<75,Female,Accounts
330,No,Neither,Neither,Yes,Yes,Yes,Yes,No,Yes,No,XLarge,<3,<75,Female,Accounts
279,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Small,3-6,<75,Female,Accounts
248,No,No,Neither,Yes,Yes,Neither,Yes,Neither,Yes,No,Medium,3-6,75 - 150,Female,Accounts
303,Neither,Yes,No,Neither,Yes,Neither,Yes,No,Yes,Yes,XLarge,<3,75 - 150,Female,Accounts
286,Yes,No,Neither,Yes,Yes,No,Neither,No,Yes,Yes,Small,3-6,150 - 300,Male,Accounts
278,Yes,Neither,No,Yes,Yes,No,Neither,No,No,No,Medium,3-6,75 - 150,Female,Accounts
96,Neither,Yes,No,Neither,Yes,No,Yes,Neither,No,Yes,Large,12-24,150 - 300,Female,Biz Dev
67,Yes,Yes,No,Yes,Neither,Yes,Neither,Yes,Yes,Yes,Large,24-48,300 - 450,Male,Accounts
285,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,XLarge,3-6,150 - 300,Male,Accounts
122,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Neither,No,Yes,Xxlarge,12-24,75 - 150,Male,Accounts
275,Yes,Neither,No,Neither,Yes,No,Neither,Yes,Yes,Yes,Large,3-6,<75,Female,Accounts
300,No,Neither,No,Neither,No,No,No,Neither,Yes,Yes,Small,3-6,75 - 150,Male,Marketing
137,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Neither,Medium,12-24,300 - 450,Female,Accounts
302,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Large,<3,<75,Female,Accounts
155,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Medium,12-24,150 - 300,Female,Marketing
236,No,Yes,No,Yes,Yes,No,No,Neither,Yes,No,Large,6-12,300 - 450,Male,Engineering
79,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes,No,Yes,Large,24-48,300 - 450,Male,Accounts
106,No,No,No,Yes,Yes,Neither,Neither,No,Neither,Yes,Xxlarge,12-24,450 - 600,Female,Engineering
154,Yes,Neither,No,Yes,Yes,Yes,Yes,No,No,No,Medium,12-24,150 - 300,Male,Engineering
264,No,No,Neither,Neither,Yes,Neither,Neither,No,Neither,Yes,Large,3-6,300 - 450,Female,Engineering
294,No,Yes,No,Yes,Neither,Yes,Yes,Yes,Yes,Yes,XLarge,3-6,75 - 150,Male,Marketing
216,Yes,Neither,No,Yes,Yes,Yes,No,Yes,No,Yes,Xxlarge,6-12,150 - 300,Male,Accounts
321,No,Yes,No,Yes,No,No,Yes,No,No,No,Medium,<3,<75,Male,Engineering
254,Yes,No,Neither,Yes,No,Neither,Neither,Yes,Yes,No,Medium,3-6,75 - 150,Male,Accounts
150,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Neither,Medium,12-24,150 - 300,Female,Marketing
324,No,Yes,No,Yes,No,Neither,Yes,No,No,No,Medium,<3,<75,Female,Accounts
262,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Large,3-6,<75,Male,Accounts
287,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Small,3-6,<75,Female,Accounts
276,Yes,Neither,No,Yes,No,Neither,Yes,Yes,Neither,No,Large,3-6,75 - 150,Male,Engineering
335,Neither,No,No,Yes,Yes,Yes,Yes,No,Yes,Neither,Medium,<3,<75,Male,Accounts
112,No,Neither,No,No,Yes,No,Yes,Neither,Yes,No,Large,12-24,75 - 150,Male,Accounts
21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Large,48+,300 - 450,Male,Operations
1,Yes,Yes,Neither,Yes,Yes,Yes,Neither,No,Yes,Neither,XLarge,48+,150 - 300,Male,Partner
214,Yes,Yes,No,Neither,No,No,Yes,No,No,No,Large,6-12,300 - 450,Male,Engineering
197,Yes,Neither,Neither,Yes,Yes,Yes,Yes,Yes,Neither,No,Medium,6-12,150 - 300,Female,Accounts
323,No,Yes,No,Yes,Yes,Yes,Yes,Neither,Yes,No,XLarge,<3,<75,Male,Accounts
253,No,Yes,Yes,Yes,Neither,Neither,Yes,No,Yes,Neither,Medium,3-6,75 - 150,Female,Marketing
85,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Medium,24-48,150 - 300,Female,Marketing
153,No,No,No,Yes,No,No,No,No,No,No,Large,12-24,300 - 450,Female,Operations
139,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Small,12-24,150 - 300,Female,Accounts
246,Yes,Neither,No,Yes,No,No,Yes,Yes,No,Neither,Small,3-6,75 - 150,Male,Marketing
156,No,Neither,Neither,Yes,No,Yes,Yes,No,No,No,Medium,12-24,75 - 150,Female,Marketing
237,Yes,Neither,No,Yes,No,Yes,Neither,Yes,Yes,Yes,XLarge,6-12,75 - 150,Male,Accounts
274,No,Neither,Neither,Yes,Neither,Neither,Yes,Neither,Yes,No,Large,3-6,75 - 150,Male,Accounts
308,Yes,Neither,Neither,Yes,Yes,Yes,Neither,Yes,No,Neither,Large,<3,<75,Female,Biz Dev
200,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Large,12-24,150 - 300,Female,Accounts
